단어,수
일해,15
자신이,15
잘해,15
저리,15
정도로,15
정부를,15
정의,15
주십시요,15
지금도,15
지금이라도,15
지도부는,15
지지자,15
지켜본다,15
찍고,15
참고,15
책임,15
챙기시길,15
처리,15
최고예요,15
탄핵하고,15
탄핵해,15
탈당해라,15
투쟁을,15
하네요,15
하니까,15
하시네요,15
하시면,15
할지,15
함께하는,15
핫팅,15
힘들게,15
거기,14
건강하신,14
검찰에,14
것만,14
결단을,14
결코,14
고민정이,14
곳,14
관련,14
국방장관,14
그러니까,14
극우,14
글,14
기다리고,14
기명투표,14
나라에,14
넘넘,14
넘어,14
님과,14
단합해서,14
답답한,14
당으로,14
대해서,14
더불어민주당이다,14
돌아와,14
드림,14
든든하고,14
등등,14
딸,14
똑같이,14
뜻이,14
마치,14
말씀이,14
말에,14
말자,14
명단,14
무기한,14
물러나라,14
미래가,14
민주당도,14
바라고,14
바람니다,14
발목,14
방류,14
벌어,14
보게,14
분입니다,14
비명이,14
사퇴하세요,14
삶이,14
상황이,14
새롭게,14
선거는,14
소망합니다,14
소중한,14
송갑석은,14
시원하게,14
시작입니다,14
시켜,14
시켜야,14
시키세요,14
식으로,14
신속하게,14
실망시키지,14
쓸,14
씨는,14
아깝다,14
언론에,14
여기는,14
웃음이,14
위험합니다,14
윤정건,14
의원님을,14
이나라를,14
이상은,14
이상한,14
이재명대표님과,14
이재명대표님이,14
이재명만이,14
이재명에게,14
인간들아,14
자랑스럽습니다,14
자를,14
잡는,14
잡범,14
저것들,14
저희,14
적,14
정치하지,14
조국이,14
좋겠어요,14
주면,14
진실은,14
진실을,14
채택하라,14
책임지고,14
챙기는,14
청년,14
청원,14
총선도,14
최고이십니다,14
최곱니다,14
치는,14
친명,14
쾌유를,14
탄핵은,14
판사,14
할게요,14
해당행위,14
해주십시오,14
행동이,14
혁신,14
확신합니다,14
확실한,14
힘껏,14
힘들,14
감히,13
같지,13
거부권,13
건강은,13
건강하셔서,13
경주이가,13
곁에서,13
고만,13
고소,13
공천을,13
구속하라,13
국정,13
국회로,13
국힘과,13
그걸,13
그럴,13
기다립니다,13
기대가,13
기대됩니다,13
기회,13
길이다,13
깨어있는,13
나가는,13
나고,13
낙선,13
난리,13
내는,13
너무도,13
놈들아,13
니,13
당선되길,13
당선되실,13
당하지,13
대단하십니다,13
대전,13
대책,13
대표로,13
대표에,13
더불어민주당만을,13
되어서,13
되어주십시오,13
들었습니다,13
땐,13
똑같은,13
똥,13
마시길,13
막,13
만들,13
만이,13
많으셨어요,13
맞지,13
멋집니다,13
목소리에,13
몸을,13
무식한,13
뭐라,13
미래의,13
민주당아,13
바라요,13
바보,13
방법이,13
백,13
범죄자,13
보니까,13
보여요,13
분노가,13
분명히,13
뺏지,13
뿐,13
사기꾼,13
사람입니다,13
사랑입니다,13
사법,13
사전투표,13
사회,13
살길이다,13
살길입니다,13
상식이,13
생각과,13
선거운동,13
세금으로,13
세상에,13
속지,13
수박들은,13
수사를,13
수석,13
승리는,13
승리하여,13
시민,13
싫어요,13
심판해야,13
썩,13
쓴,13
안귀령,13
안되고,13
안하고,13
않네요,13
않습니까,13
않아요,13
암컷,13
없도록,13
여기서,13
여야,13
역사에,13
올바른,13
욕,13
우선입니다,13
의석,13
의원님들도,13
의원님들이,13
의원님은,13
이겨,13
이겨주세요,13
이나라,13
이번엔,13
이재명대표님을,13
이제야,13
인물,13
일하시는,13
자기들이,13
자들이,13
잘했습니다,13
전국,13
정권이,13
정도는,13
정신들,13
정치가,13
정치하는,13
제도,13
주시기를,13
준비된,13
중국,13
중단을,13
지고,13
지지하며,13
집,13
짝짝짝,13
찍는,13
찬,13
챙겨,13
천재명,13
통과,13
표가,13
표정이,13
하나하나,13
하든,13
한동훈이,13
한두,13
함게,13
해주시길,13
홍영표,13
회복되시길,13
회복이,13
힘내셔요,13
힘써,13
가능한,12
가슴에,12
가지,12
